"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"KAN-14","Story","KAN-3","As a user, I want to add products to my shopping cart from the product detail page","To Do","","KAN Sprint 3","2024/02/12","2024/02/12","2024/02/13","2024/02/13","purple"
"KAN-15","Story","KAN-3","As a user, I want to view and edit the contents of my shopping cart before checking out","To Do","","KAN Sprint 3","2024/02/14","2024/02/14","2024/02/16","2024/02/16","purple"
"KAN-16","Story","KAN-3","As a user, I want to apply discount codes and see the adjusted total price","To Do","","KAN Sprint 4","2024/03/18","2024/03/18","2024/03/19","2024/03/19","purple"
"KAN-17","Story","KAN-3","As a user, I want to select different shipping and payment options during checkout","To Do","","KAN Sprint 4","2024/03/04","2024/03/04","2024/03/15","2024/03/15","purple"
"KAN-18","Story","KAN-3","As a user, I want to receive an order confirmation email with details about my purchase","To Do","","KAN Sprint 4","2024/03/20","2024/03/20","2024/03/22","2024/03/22","purple"
"KAN-4","Epic","","Mobile App Integration","To Do","","","","2024/03/25","","2024/04/26","dark_orange"
"KAN-49","Task","KAN-4","Technical Infrastructure Activity: Environment Setup for iOS App Development","To Do","","KAN Sprint 5","2024/03/25","2024/03/25","2024/03/29","2024/03/29","purple"
"KAN-50","Task","KAN-4","Technical Infrastructure Activity: Environment Setup for Android App Development","To Do","","KAN Sprint 5","2024/03/25","2024/03/25","2024/03/29","2024/03/29","purple"
"KAN-20","Story","KAN-4","As a user, I want to log in to the mobile app using my existing account credentials","To Do","","KAN Sprint 5","2024/04/01","2024/04/01","2024/04/05","2024/04/05","purple"
"KAN-22","Story","KAN-4","As a user, I want to use my device's camera to scan barcodes and search for products","To Do","","KAN Sprint 5","2024/04/01","2024/04/01","2024/04/12","2024/04/12","purple"
"KAN-21","Story","KAN-4","As a user, I want to receive push notifications on my mobile device for order updates and promotions","To Do","","KAN Sprint 5","2024/04/08","2024/04/08","2024/04/12","2024/04/12","purple"
"KAN-23","Story","KAN-4","As a user, I want to enjoy a responsive and user-friendly experience on the mobile app","To Do","","KAN Sprint 5","2024/04/15","2024/04/15","2024/04/19","2024/04/19","purple"
"KAN-19","Story","KAN-4","As a user, I want to download and install the mobile app from the App Store or Google Play","To Do","","KAN Sprint 5","2024/04/22","2024/04/22","2024/04/26","2024/04/26","purple"
